timestamp,ax,ay,az,gx,gy,gz,label
1775202522843,3.054438,5.623133,11.07159,0.1473669,-0.109799795,-0.86938834,walking
1775202522857,2.8390841,4.048656,10.693524,0.1473669,-0.109799795,-0.86938834,walking
1775202522857,2.8390841,4.048656,10.693524,-0.35230616,0.4534014,0.038330667,walking
1775202522867,2.3557339,2.6273193,10.904093,-0.35230616,0.4534014,0.038330667,walking
1775202522867,2.3557339,2.6273193,10.904093,-0.24235365,0.79547584,-0.033749312,walking
1775202522888,2.3557339,2.6273193,10.904093,0.026419144,0.9420792,-0.23044212,walking
1775202522888,2.461018,1.2969099,10.913664,0.026419144,0.9420792,-0.23044212,walking
1775202522907,2.461018,1.2969099,10.913664,0.3697153,0.85411716,-0.40270105,walking
1775202522907,2.2121646,0.66999036,10.191031,0.3697153,0.85411716,-0.40270105,walking
1775202522928,2.2121646,0.66999036,10.191031,0.6494833,0.5523586,-0.51754034,walking
1775202522928,2.5615165,0.55513483,9.382257,0.6494833,0.5523586,-0.51754034,walking
1775202522945,2.8055844,0.971486,9.229117,0.6494833,0.5523586,-0.51754034,walking
1775202522945,2.8055844,0.971486,9.229117,0.78509146,0.16874656,-0.5945071,walking
1775202522965,2.8055844,0.971486,9.229117,0.7301152,-0.2832804,-0.5786251,walking
1775202522966,2.408376,2.1870399,8.286345,0.7301152,-0.2832804,-0.5786251,walking
1775202522986,2.408376,2.1870399,8.286345,0.5285356,-0.49585527,-0.47355935,walking
1775202522987,1.9680966,2.9766715,8.2049885,0.5285356,-0.49585527,-0.47355935,walking
1775202523006,1.7001005,3.7806597,8.257631,0.5285356,-0.49585527,-0.47355935,walking
1775202523006,1.7001005,3.7806597,8.257631,0.29885703,-0.48486,-0.29152685,walking
1775202523023,1.7001005,3.7806597,8.257631,0.081395395,-0.42866206,-0.08261709,walking
1775202523023,1.4751751,4.398008,8.559127,0.081395395,-0.42866206,-0.08261709,walking
1775202523043,1.7001005,3.9577286,8.037491,0.081395395,-0.42866206,-0.08261709,walking
1775202523044,1.7001005,3.9577286,8.037491,-0.07131642,-0.5570927,0.020005248,walking
1775202523062,1.7001005,3.9577286,8.037491,-0.09208523,-0.82342213,-0.0581832,walking
1775202523063,1.9154545,3.656233,7.2861447,-0.09208523,-0.82342213,-0.0581832,walking
1775202523084,1.9154545,3.656233,7.2861447,0.0019852535,-1.0115631,-0.22677705,walking
1775202523084,2.1212373,3.5318062,6.6927247,0.0019852535,-1.0115631,-0.22677705,walking
1775202523102,2.1212373,3.5318062,6.6927247,0.08506048,-1.1300675,-0.29885703,walking
1775202523103,3.8297126,3.6610186,5.7355957,0.08506048,-1.1300675,-0.29885703,walking
1775202523120,3.8297126,3.6610186,5.7355957,-0.09208523,-0.8698465,-0.004428643,walking
1775202523121,3.0209386,3.9098723,7.539784,-0.09208523,-0.8698465,-0.004428643,walking
1775202523139,3.0209386,3.9098723,7.539784,-0.40117395,-0.70980453,0.33779854,walking
1775202523139,1.1832508,4.106084,6.587441,-0.40117395,-0.70980453,0.33779854,walking
1775202523160,1.0827522,4.3932223,6.745367,-0.40117395,-0.70980453,0.33779854,walking
1775202523161,1.0827522,4.3932223,6.745367,-0.53800374,-0.43599224,0.37444937,walking
1775202523180,1.0827522,4.3932223,6.745367,-0.5172349,-0.035276428,0.49539712,walking
1775202523180,2.949154,4.254439,6.7262244,-0.5172349,-0.035276428,0.49539712,walking
1775202523200,2.949154,4.254439,6.7262244,-0.30466008,0.09910997,0.6139015,walking
1775202523200,3.7962132,4.0677986,6.640083,-0.30466008,0.09910997,0.6139015,walking
1775202523218,3.7962132,4.0677986,6.640083,-0.16783029,0.07711947,0.23624517,walking
1775202523219,1.7575282,4.3070807,6.946364,-0.16783029,0.07711947,0.23624517,walking
1775202523238,2.7768707,5.4891353,7.7407813,-0.16783029,0.07711947,0.23624517,walking
1775202523240,2.7768707,5.4891353,7.7407813,-0.13973132,0.3556658,-0.045966256,walking
1775202523264,2.7768707,5.4891353,7.7407813,0.18401773,0.5205946,-0.10094251,walking
1775202523264,2.8103702,5.436493,7.7551384,0.18401773,0.5205946,-0.10094251,walking
1775202523280,2.475375,5.1828537,8.310273,0.18401773,0.5205946,-0.10094251,walking
1775202523280,2.475375,5.1828537,8.310273,0.5835118,0.52181625,-0.16324893,walking
1775202523296,2.475375,5.1828537,8.310273,0.70934635,0.43507597,-0.27320144,walking
1775202523297,2.3940191,5.613562,8.348558,0.70934635,0.43507597,-0.27320144,walking
1775202523315,2.3940191,5.613562,8.348558,0.64703995,0.3324536,-0.282975,walking
1775202523315,2.3844478,6.4845495,8.874979,0.64703995,0.3324536,-0.282975,walking
1775202523343,2.3844478,6.4845495,8.874979,0.54197425,0.25426516,-0.097277425,walking
1775202523343,2.4514468,6.5898337,8.927621,0.54197425,0.25426516,-0.097277425,walking
1775202523356,2.4514468,6.5898337,8.927621,0.47111595,0.34589225,0.12995775,walking
1775202523357,1.6953149,6.168697,9.497113,0.47111595,0.34589225,0.12995775,walking
1775202523373,1.6953149,6.168697,9.497113,0.49432814,0.43629766,0.19959435,walking
1775202523374,0.96789676,6.7908306,9.990034,0.49432814,0.43629766,0.19959435,walking
1775202523396,0.96789676,6.7908306,9.990034,0.57740337,0.34467056,0.2974826,walking
1775202523397,0.52283174,8.04467,11.473584,0.57740337,0.34467056,0.2974826,walking
1775202523414,0.52283174,8.04467,11.473584,0.5004366,-0.07437065,0.53326964,walking
1775202523414,0.6472585,8.662018,11.669796,0.5004366,-0.07437065,0.53326964,walking
1775202523431,0.6472585,8.662018,11.669796,0.033749312,-0.25762483,0.8924478,walking
1775202523432,1.4847465,6.963114,10.636097,0.033749312,-0.25762483,0.8924478,walking
1775202523452,1.4847465,6.963114,10.636097,-0.4793624,0.055128966,1.1490037,walking
1775202523452,1.8340986,4.685147,12.550355,-0.4793624,0.055128966,1.1490037,walking
1775202523470,1.8340986,4.685147,12.550355,-0.6027535,-0.0022906773,1.2467393,walking
1775202523470,1.4895321,2.9623144,13.741981,-0.6027535,-0.0022906773,1.2467393,walking
1775202523490,1.4895321,2.9623144,13.741981,-0.50623965,-0.40911496,1.2430742,walking
1775202523490,1.2406785,2.0434706,13.828122,-0.50623965,-0.40911496,1.2430742,walking
1775202523510,1.2406785,2.0434706,13.828122,-0.4549285,-0.9272661,1.1709942,walking
1775202523511,1.2502499,2.5698915,12.071791,-0.4549285,-0.9272661,1.1709942,walking
1775202523530,1.2502499,2.5698915,12.071791,-0.4964661,-1.1325108,1.179546,walking
1775202523531,1.9106688,3.2877383,10.004392,-0.4964661,-1.1325108,1.179546,walking
1775202523552,1.9106688,3.2877383,10.004392,-0.46348035,-0.9846858,1.2858335,walking
1775202523553,1.7958134,2.952743,8.7266245,-0.46348035,-0.9846858,1.2858335,walking
1775202523576,1.7958134,2.952743,8.7266245,-0.25701398,-0.65604997,1.3799039,walking
1775202523576,1.7670995,2.5938199,7.9561353,-0.25701398,-0.65604997,1.3799039,walking
1775202523589,1.8197416,2.3306093,7.4392858,-0.25701398,-0.65604997,1.3799039,walking
1775202523592,1.8197416,2.3306093,7.4392858,0.07773031,-0.30282754,1.4507623,walking
1775202523607,1.8197416,2.3306093,7.4392858,0.43324342,-0.018172706,1.5142903,walking
1775202523608,1.9298115,2.1966112,6.2141604,0.43324342,-0.018172706,1.5142903,walking
1775202523629,1.9298115,2.1966112,6.2141604,0.7032379,0.3422272,1.5362809,walking
1775202523630,1.948954,2.1104696,5.2953167,0.7032379,0.3422272,1.5362809,walking
1775202523646,1.948954,2.1104696,5.2953167,0.81196874,0.77348536,1.5130687,walking
1775202523646,1.8053846,2.1535404,5.070391,0.81196874,0.77348536,1.5130687,walking
1775202523665,1.8053846,2.1535404,5.070391,0.8327375,1.1595408,1.4727527,walking
1775202523665,1.747957,2.292324,5.2139606,0.8327375,1.1595408,1.4727527,walking
