timestamp,ax,ay,az,gx,gy,gz,label
1775201185589,-0.22851457,6.3457656,7.8029947,0.022295926,-0.017256435,-0.01267508,still
1775201185590,-0.22851457,6.3457656,7.8029947,0.011300675,0.0035123718,0.0056503373,still
1775201185590,-0.07537391,6.666404,7.367501,0.011300675,0.0035123718,0.0056503373,still
1775201185609,-0.16630118,6.6185474,7.463214,0.011300675,0.0035123718,0.0056503373,still
1775201185609,-0.16630118,6.6185474,7.463214,-0.0021379655,-0.0013744063,-0.0029015245,still
1775201185625,-0.16630118,6.6185474,7.463214,-0.008246438,-0.0013744063,-0.0029015245,still
1775201185625,-0.18544376,6.355337,7.8221374,-0.008246438,-0.0013744063,-0.0029015245,still
1775201185642,-0.18544376,6.355337,7.8221374,0.0051922016,0.0010689828,-4.5813544E-4,still
1775201185642,-0.16151553,6.4941206,7.578069,0.0051922016,0.0010689828,-4.5813544E-4,still
1775201185662,-0.16151553,6.4941206,7.578069,0.003970507,0.0010689828,7.635591E-4,still
1775201185662,-0.1471586,6.6759753,7.4249287,0.003970507,0.0010689828,7.635591E-4,still
1775201185687,-0.1471586,6.6759753,7.4249287,-0.005803049,-1.5271181E-4,-4.5813544E-4,still
1775201185688,-0.16151553,6.45105,7.664211,-0.005803049,-1.5271181E-4,-4.5813544E-4,still
1775201185705,-0.19501504,6.4271216,7.692925,-0.005803049,-1.5271181E-4,-4.5813544E-4,still
1775201185705,-0.19501504,6.4271216,7.692925,-9.162709E-4,-1.5271181E-4,-0.00167983,still
1775201185732,-0.19501504,6.4271216,7.692925,0.003970507,0.0010689828,7.635591E-4,still
1775201185732,-0.15194423,6.613762,7.496713,0.003970507,0.0010689828,7.635591E-4,still
1775201185749,-0.1471586,6.532406,7.554141,0.003970507,0.0010689828,7.635591E-4,still
1775201185749,-0.1471586,6.532406,7.554141,-9.162709E-4,-1.5271181E-4,-4.5813544E-4,still
1775201185761,-0.1471586,6.532406,7.554141,-0.00335966,-1.5271181E-4,-0.00167983,still
1775201185761,-0.19980069,6.45105,7.702496,-0.00335966,-1.5271181E-4,-0.00167983,still
1775201185778,-0.19980069,6.45105,7.702496,0.0027488125,-1.5271181E-4,7.635591E-4,still
1775201185779,-0.16151553,6.5228343,7.5732837,0.0027488125,-1.5271181E-4,7.635591E-4,still
1775201185800,-0.16151553,6.5754766,7.5254273,0.0027488125,-1.5271181E-4,7.635591E-4,still
1775201185801,-0.16151553,6.5754766,7.5254273,0.0015271181,-1.5271181E-4,-4.5813544E-4,still
1775201185817,-0.16151553,6.5754766,7.5254273,-0.00335966,0.0010689828,-0.00167983,still
1775201185817,-0.17587246,6.474978,7.645068,-0.00335966,0.0010689828,-0.00167983,still
1775201185839,-0.17587246,6.474978,7.645068,0.0015271181,-1.5271181E-4,-4.5813544E-4,still
1775201185840,-0.15194423,6.4845495,7.6067834,0.0015271181,-1.5271181E-4,-4.5813544E-4,still
1775201185856,-0.15194423,6.4845495,7.6067834,0.0015271181,0.0010689828,-4.5813544E-4,still
1775201185857,-0.16151553,6.5754766,7.539784,0.0015271181,0.0010689828,-4.5813544E-4,still
