timestamp,ax,ay,az,gx,gy,gz,label
1775202829875,1.8915263,3.7567315,7.850851,-0.46958882,-0.08536591,0.15927842,stairs_down
1775202829897,1.8915263,3.7567315,7.850851,-0.42316443,0.23960483,-0.5004366,stairs_down
1775202829897,2.1260228,3.306881,8.563912,-0.42316443,0.23960483,-0.5004366,stairs_down
1775202829905,2.1260228,3.306881,8.563912,-0.4732539,0.27747735,-0.57740337,stairs_down
1775202829905,1.9106688,2.9671001,9.004191,-0.4732539,0.27747735,-0.57740337,stairs_down
1775202829923,1.9106688,2.9671001,9.004191,-0.4756973,0.25915194,-0.7252284,stairs_down
1775202829923,1.7001005,2.914458,8.879765,-0.4756973,0.25915194,-0.7252284,stairs_down
1775202829942,1.7001005,2.914458,8.879765,-0.4524851,0.27747735,-0.87061006,stairs_down
1775202829942,1.451247,2.9192436,8.640483,-0.4524851,0.27747735,-0.87061006,stairs_down
1775202829963,1.451247,2.9192436,8.640483,-0.44026816,0.34833565,-0.97567576,stairs_down
1775202829963,1.2550355,2.9958138,8.453842,-0.44026816,0.34833565,-0.97567576,stairs_down
1775202829985,1.2550355,2.9958138,8.453842,-0.4304946,0.57312745,-1.1039537,stairs_down
1775202829985,1.3172488,2.9479575,8.377272,-0.4304946,0.57312745,-1.1039537,stairs_down
1775202830000,1.2598212,2.8905299,8.516056,-0.4304946,0.57312745,-1.1039537,stairs_down
1775202830001,1.2598212,2.8905299,8.516056,-0.44026816,0.8932114,-1.2358967,stairs_down
1775202830019,0.54675996,2.8713872,8.650054,-0.44026816,0.8932114,-1.2358967,stairs_down
1775202830020,0.54675996,2.8713872,8.650054,-0.42072105,1.1803097,-1.318972,stairs_down
1775202830042,0.54675996,2.8713872,8.650054,-0.3877353,1.4173183,-1.366618,stairs_down
1775202830042,0.0059820567,2.7038896,10.2723875,-0.3877353,1.4173183,-1.366618,stairs_down
1775202830058,0.0059820567,2.7038896,10.2723875,-0.46592376,1.2756017,-1.4167075,stairs_down
1775202830059,0.31226337,2.2827528,13.076776,-0.46592376,1.2756017,-1.4167075,stairs_down
1775202830077,0.31226337,2.2827528,13.076776,-0.6051969,0.5609105,-1.4619102,stairs_down
1775202830078,-0.654437,2.7038896,11.248659,-0.6051969,0.5609105,-1.4619102,stairs_down
1775202830097,-0.654437,2.7038896,11.248659,-0.5514424,0.06734591,-1.5486505,stairs_down
1775202830097,-1.0707881,3.062813,9.856036,-0.5514424,0.06734591,-1.5486505,stairs_down
1775202830117,-1.0707881,3.062813,9.856036,-0.3242072,-0.09147438,-1.714801,stairs_down
1775202830118,-1.0660025,2.9862428,9.382257,-0.3242072,-0.09147438,-1.714801,stairs_down
