timestamp,ax,ay,az,gx,gy,gz,label
1775211539560,0.9822537,4.125226,8.851051,-0.9535326,-0.24800399,-0.23090026,running
1775211539579,0.9822537,4.125226,8.851051,-0.14599249,0.19669282,-0.17348062,running
1775211539579,1.0396814,4.173083,8.717052,-0.14599249,0.19669282,-0.17348062,running
1775211539588,0.8673982,3.952943,8.7266245,-0.14599249,0.19669282,-0.17348062,running
1775211539588,0.8673982,3.952943,8.7266245,-0.054365408,0.2211267,-0.18936265,running
1775211539603,0.6520442,3.9960139,8.922835,-0.054365408,0.2211267,-0.18936265,running
1775211539604,0.6520442,3.9960139,8.922835,-0.0030542363,0.24678229,-0.14171657,running
1775211539632,0.613759,3.871587,9.21476,-0.0030542363,0.24678229,-0.14171657,running
1775211539633,0.613759,3.871587,9.21476,-0.033596598,0.26510772,-0.076966755,running
1775211539649,0.613759,3.871587,9.21476,-0.102011494,0.28831992,-0.08551861,running
1775211539650,0.13040884,4.082155,8.525627,-0.102011494,0.28831992,-0.08551861,running
1775211539666,0.14476576,4.2975097,8.669196,-0.102011494,0.28831992,-0.08551861,running
1775211539666,0.14476576,4.2975097,8.669196,-0.12888877,0.41537613,-0.1368298,running
1775211539683,0.015553347,4.354937,8.693125,-0.12888877,0.41537613,-0.1368298,running
1775211539683,0.015553347,4.354937,8.693125,-0.14721419,0.4923429,-0.26022094,running
1775211539701,-0.21894327,4.5272202,8.530413,-0.14721419,0.4923429,-0.26022094,running
1775211539701,-0.21894327,4.5272202,8.530413,-0.24372806,0.45080528,-0.36406496,running
1775211539728,-0.47736812,4.206582,8.305488,-0.24372806,0.45080528,-0.36406496,running
1775211539728,-0.47736812,4.206582,8.305488,-0.3915531,0.34451786,-0.36895174,running
1775211539744,-0.47736812,4.206582,8.305488,-0.5051707,0.1771457,-0.3115321,running
1775211539744,-0.35294133,4.0438704,8.128419,-0.5051707,0.1771457,-0.3115321,running
1775211539760,0.18305093,3.8141594,8.281559,-0.5051707,0.1771457,-0.3115321,running
