timestamp,ax,ay,az,gx,gy,gz,label
1775211606650,0.106480606,2.713461,9.913465,-0.72874075,-0.21013145,-1.3890667,stairs_down
1775211606650,0.15433706,2.3832514,9.970892,-0.72874075,-0.21013145,-1.3890667,stairs_down
1775211606650,0.15433706,2.3832514,9.970892,-0.04214846,0.2015796,-0.5326588,stairs_down
1775211606670,0.106480606,2.268396,9.717253,-0.04214846,0.2015796,-0.5326588,stairs_down
1775211606671,0.106480606,2.268396,9.717253,0.032374904,0.18325418,-0.61329067,stairs_down
1775211606688,0.106480606,2.268396,9.717253,0.08124269,0.17348062,-0.61695576,stairs_down
1775211606688,-0.061016977,2.1391835,9.65504,0.08124269,0.17348062,-0.61695576,stairs_down
1775211606711,-0.061016977,2.1391835,9.65504,0.0775776,0.15882029,-0.6022954,stairs_down
1775211606711,-0.45822555,2.1631117,9.367901,0.0775776,0.15882029,-0.6022954,stairs_down
1775211606728,-0.45822555,2.1631117,9.367901,0.049478628,0.1808108,-0.6181774,stairs_down
1775211606728,-0.8889336,2.239682,9.224331,0.049478628,0.1808108,-0.6181774,stairs_down
1775211606752,-1.1569297,2.2971098,9.1669035,0.049478628,0.1808108,-0.6181774,stairs_down
1775211606752,-1.1569297,2.2971098,9.1669035,-0.009162709,0.19180603,-0.6487198,stairs_down
1775211606766,-1.1569297,2.2971098,9.1669035,-0.08979455,0.1551552,-0.65116316,stairs_down
1775211606766,-1.262214,2.3353949,9.0233345,-0.08979455,0.1551552,-0.65116316,stairs_down
1775211606789,-1.4249259,2.239682,8.889337,-0.08979455,0.1551552,-0.65116316,stairs_down
1775211606790,-1.4249259,2.239682,8.889337,-0.18630841,0.07941014,-0.5949652,stairs_down
1775211606806,-1.4249259,2.239682,8.889337,-0.3011477,0.0,-0.4886778,stairs_down
1775211606806,-1.5062819,2.1535404,8.779266,-0.3011477,0.0,-0.4886778,stairs_down
1775211606825,-1.5062819,2.1535404,8.779266,-0.4355341,-0.0684149,-0.35062632,stairs_down
1775211606826,-1.6211374,2.009971,8.903693,-0.4355341,-0.0684149,-0.35062632,stairs_down
1775211606844,-1.6211374,2.009971,8.903693,-0.5686988,-0.10750912,-0.2247918,stairs_down
1775211606844,-1.692922,1.9764715,9.119047,-0.5686988,-0.10750912,-0.2247918,stairs_down
1775211606864,-1.692922,1.9764715,9.119047,-0.6652127,-0.12705623,-0.131943,stairs_down
1775211606864,-1.5014962,2.1104696,9.367901,-0.6652127,-0.12705623,-0.131943,stairs_down
1775211606884,-1.3435699,2.3114667,9.688539,-0.6652127,-0.12705623,-0.131943,stairs_down
1775211606885,-1.3435699,2.3114667,9.688539,-0.7201889,-0.16004199,-0.070858285,stairs_down
1775211606906,-1.3435699,2.3114667,9.688539,-0.7275191,-0.21379654,-0.06352811,stairs_down
1775211606906,-1.2095718,2.4071796,10.076176,-0.7275191,-0.21379654,-0.06352811,stairs_down
1775211606922,-1.2095718,2.4071796,10.076176,-0.6737645,-0.28343314,-0.1123959,stairs_down
1775211606922,-1.0229317,2.6512475,10.372886,-0.6737645,-0.28343314,-0.1123959,stairs_down
1775211606947,-1.0229317,2.6512475,10.372886,-0.5784724,-0.36284328,-0.17470232,stairs_down
1775211606948,-0.80757767,2.617748,10.607383,-0.5784724,-0.36284328,-0.17470232,stairs_down
1775211606962,-0.80757767,2.617748,10.607383,-0.46363306,-0.42514968,-0.23578705,stairs_down
1775211606962,-0.49651068,2.6943183,10.320244,-0.46363306,-0.42514968,-0.23578705,stairs_down
1775211606981,-0.49651068,2.6943183,10.320244,-0.35490227,-0.36039987,-0.27121618,stairs_down
1775211606982,-0.41994038,2.78046,10.21496,-0.35490227,-0.36039987,-0.27121618,stairs_down
1775211607008,-0.41994038,2.78046,10.21496,-0.29137415,-0.20402299,-0.28465483,stairs_down
1775211607008,-0.73100734,2.7996025,10.353744,-0.29137415,-0.20402299,-0.28465483,stairs_down
1775211607023,-0.73100734,2.7996025,10.353744,-0.2596101,-0.08063184,-0.30786702,stairs_down
1775211607023,-1.1282159,2.737389,10.329815,-0.2596101,-0.08063184,-0.30786702,stairs_down
1775211607040,-1.329213,2.8283165,10.24846,-0.2596101,-0.08063184,-0.30786702,stairs_down
1775211607041,-1.329213,2.8283165,10.24846,-0.20463383,-0.02443389,-0.3542914,stairs_down
1775211607058,-1.329213,2.8283165,10.24846,-0.11911522,-0.041537613,-0.3811687,stairs_down
1775211607059,-1.314856,2.8713872,10.325029,-0.11911522,-0.041537613,-0.3811687,stairs_down
1775211607077,-1.314856,2.8713872,10.325029,-0.032374904,-0.123391144,-0.3591782,stairs_down
1775211607078,-1.099502,2.952743,10.329815,-0.032374904,-0.123391144,-0.3591782,stairs_down
1775211607105,-1.099502,2.952743,10.329815,0.064138964,-0.20402299,-0.2858765,stairs_down
1775211607106,-0.9846465,2.8378878,10.176675,0.064138964,-0.20402299,-0.2858765,stairs_down
1775211607122,-0.9846465,2.8378878,10.176675,0.17653486,-0.21257484,-0.21135315,stairs_down
1775211607123,-0.89371926,2.6321049,9.856036,0.17653486,-0.21257484,-0.21135315,stairs_down
1775211607137,-0.8889336,2.7756743,9.521041,0.17653486,-0.21257484,-0.21135315,stairs_down
1775211607138,-0.8889336,2.7756743,9.521041,0.29259583,-0.11728267,-0.16737215,stairs_down
1775211607157,-0.8889336,2.7756743,9.521041,0.38300124,0.036650836,-0.15149012,stairs_down
1775211607157,-0.9128618,2.7756743,9.176475,0.38300124,0.036650836,-0.15149012,stairs_down
1775211607185,-0.9128618,2.7756743,9.176475,0.4306473,0.17103723,-0.12705623,stairs_down
1775211607186,-1.0133604,2.7565317,8.894122,0.4306473,0.17103723,-0.12705623,stairs_down
1775211607200,-1.0133604,2.7565317,8.894122,0.45263782,0.22967857,-0.054976255,stairs_down
1775211607200,-1.2382857,2.7565317,8.630911,0.45263782,0.22967857,-0.054976255,stairs_down
1775211607215,-1.2382857,2.7565317,8.630911,0.44286427,0.2247918,0.03298575,stairs_down
1775211607216,-1.4584254,2.7278178,8.477771,0.44286427,0.2247918,0.03298575,stairs_down
1775211607236,-1.4584254,2.7278178,8.477771,0.40499175,0.18203248,0.11728267,stairs_down
1775211607237,-1.5254245,2.6799614,8.329415,0.40499175,0.18203248,0.11728267,stairs_down
1775211607255,-1.5254245,2.6799614,8.329415,0.34512872,0.14660335,0.20280129,stairs_down
1775211607256,-1.4536397,2.6273193,8.248059,0.34512872,0.14660335,0.20280129,stairs_down
1775211607286,-1.4536397,2.6273193,8.248059,0.27182704,0.14171657,0.29687178,stairs_down
1775211607286,-1.3004991,2.5268207,8.166703,0.27182704,0.14171657,0.29687178,stairs_down
1775211607301,-1.3004991,2.5268207,8.166703,0.20219044,0.14049487,0.4043809,stairs_down
1775211607302,-1.1090733,2.388037,7.9130645,0.20219044,0.14049487,0.4043809,stairs_down
1775211607314,-1.1090733,2.388037,7.9130645,0.16065283,0.13805148,0.51433337,stairs_down
1775211607314,-0.9846465,2.2348964,7.597212,0.16065283,0.13805148,0.51433337,stairs_down
1775211607332,-0.79800636,2.359323,7.391429,0.16065283,0.13805148,0.51433337,stairs_down
1775211607332,-0.79800636,2.359323,7.391429,0.1643179,0.1575986,0.5986303,stairs_down
1775211607362,-0.79800636,2.359323,7.391429,0.17897825,0.175924,0.6462764,stairs_down
1775211607362,-0.654437,2.4311078,7.166504,0.17897825,0.175924,0.6462764,stairs_down
1775211607376,-0.654437,2.4311078,7.166504,0.1899735,0.18447587,0.643833,stairs_down
1775211607376,-0.47258246,2.440679,6.7932234,0.1899735,0.18447587,0.643833,stairs_down
