timestamp,ax,ay,az,gx,gy,gz,label
1775213244182,0.14476576,5.56092,8.367701,0.0,0.0,0.0,turning
1775213244183,0.13998012,5.4891353,8.3581295,0.0,0.0,0.0,turning
1775213244183,0.13998012,5.4891353,8.3581295,-0.16172181,0.033138465,-0.003206948,turning
1775213244183,0.15433706,5.4460645,8.4012,-0.16172181,0.033138465,-0.003206948,turning
1775213244184,0.15433706,5.4460645,8.4012,-0.14950487,0.051463883,-0.059404895,turning
1775213244184,0.15433706,5.4460645,8.4012,-0.09086353,0.052685577,-0.12171131,turning
1775213244184,0.1160519,5.4317074,8.559127,-0.09086353,0.052685577,-0.12171131,turning
1775213244292,0.1160519,5.4317074,8.559127,-0.018783553,0.014813046,-0.16569231,turning
1775213244293,-0.0849452,5.4412785,8.554341,-0.018783553,0.014813046,-0.16569231,turning
1775213244293,-0.0849452,5.4412785,8.554341,0.021532366,-0.035276428,-0.16691402,turning
1775213244294,-0.06580263,5.4173503,8.439486,0.021532366,-0.035276428,-0.16691402,turning
1775213244294,-0.06580263,5.4173503,8.439486,0.012980504,-0.06215371,-0.14614521,turning
1775213244294,0.058624156,5.4795637,8.329415,0.012980504,-0.06215371,-0.14614521,turning
1775213244294,0.15433706,5.4556355,8.319844,0.012980504,-0.06215371,-0.14614521,turning
1775213244294,0.15433706,5.4556355,8.319844,-0.006566608,-0.07437065,-0.13637166,turning
1775213244295,0.17826529,5.436493,8.382058,-0.006566608,-0.07437065,-0.13637166,turning
1775213244295,0.17826529,5.436493,8.382058,-0.018783553,-0.087809294,-0.15347537,turning
1775213244343,0.029910283,5.4125648,8.300702,-0.018783553,-0.087809294,-0.15347537,turning
1775213244344,0.029910283,5.4125648,8.300702,-0.016340164,-0.10735641,-0.18768282,turning
1775213244344,-0.051445685,5.4125648,8.310273,-0.016340164,-0.10735641,-0.18768282,turning
1775213244344,-0.051445685,5.4125648,8.310273,-0.0151184695,-0.12568182,-0.20722993,turning
1775213244344,-0.051445685,5.4125648,8.310273,-0.044439137,-0.12201674,-0.21089502,turning
1775213244345,0.010767702,5.4412785,8.228917,-0.044439137,-0.12201674,-0.21089502,turning
1775213244385,0.010767702,5.4412785,8.228917,-0.07009472,-0.09880454,-0.2170035,turning
1775213244386,-0.01794617,5.4556355,8.329415,-0.07009472,-0.09880454,-0.2170035,turning
1775213244386,-0.01794617,5.4556355,8.329415,-0.078646585,-0.07681404,-0.22677705,turning
1775213244386,-0.11844472,5.45085,8.377272,-0.078646585,-0.07681404,-0.22677705,turning
1775213244424,-0.276371,5.3790655,8.386844,-0.078646585,-0.07681404,-0.22677705,turning
1775213244424,-0.276371,5.3790655,8.386844,-0.05787778,-0.04871507,-0.23044212,turning
1775213244425,-0.34337005,5.4317074,8.3581295,-0.05787778,-0.04871507,-0.23044212,turning
1775213244425,-0.34337005,5.4317074,8.3581295,-0.028557109,-0.030389652,-0.22311196,turning
1775213244465,-0.34337005,5.4317074,8.3581295,-0.018783553,-0.010842538,-0.21089502,turning
1775213244466,-0.40079778,5.5274205,8.343773,-0.018783553,-0.010842538,-0.21089502,turning
1775213244466,-0.51565325,5.5657053,8.382058,-0.018783553,-0.010842538,-0.21089502,turning
1775213244466,-0.51565325,5.5657053,8.382058,-0.009009997,0.009926268,-0.18157434,turning
1775213244512,-0.51565325,5.5657053,8.382058,-0.0029015245,0.007482879,-0.13026318,turning
1775213244512,-0.5300102,5.5274205,8.4682,-0.0029015245,0.007482879,-0.13026318,turning
1775213244512,-0.5300102,5.5274205,8.4682,0.0019852535,-0.0071774554,-0.07650862,turning
1775213244513,-0.6017949,5.4173503,8.449057,0.0019852535,-0.0071774554,-0.07650862,turning
1775213244516,-0.6017949,5.4173503,8.449057,0.003206948,-0.023059484,-0.028862532,turning
1775213244517,-0.60658056,5.4221363,8.334201,0.003206948,-0.023059484,-0.028862532,turning
1775213244554,-0.60658056,5.4221363,8.334201,-0.006566608,-0.0047340663,0.011453386,turning
1775213244555,-0.6161518,5.369494,8.243274,-0.006566608,-0.0047340663,0.011453386,turning
1775213244555,-0.6161518,5.369494,8.243274,-0.018783553,0.04046863,0.04566083,turning
1775213244555,-0.66400826,5.3647084,8.200203,-0.018783553,0.04046863,0.04566083,turning
1775213244594,-0.6735796,5.3407803,8.32463,-0.018783553,0.04046863,0.04566083,turning
1775213244594,-0.6735796,5.3407803,8.32463,-0.028557109,0.088114716,0.09330692,turning
1775213244594,-0.5778667,5.312066,8.496913,-0.028557109,0.088114716,0.09330692,turning
